name,dob,country,nationalTeam,battingStyle,bowlingStyle
Dom Joyce,14-06-1981,Ireland,Ireland,Right-hand bat,
Dominic Cork,07-08-1971,England,England,Right-hand bat,Right-arm fast-medium
Dominic Wesonga,16-07-1988,Kenya,Kenya,Right-hand bat,Right-arm fast-medium
Don Anurasiri,25-02-1966,Sri Lanka,Sri Lanka,Right-hand bat,Slow left-arm
Don Beard,14-01-1920,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Don Blackie,05-04-1882,Australia,Australia,Left-hand bat,Off-break
Don Bradman,27-08-1908,Australia,Australia,Right-hand bat,Leg-break
Don Brennan,10-02-1920,England,England,Right-hand bat,
Don Cleverley,23-12-1909,New Zealand,New Zealand,Left-hand bat,Right-arm fast-medium
Don Kenyon,15-05-1924,England,England,Right-hand bat,Right-arm medium
Don Maxwell,23-02-1971,Barbados,Canada,Right-hand bat,Right-arm fast-medium
Don McRae,25-12-1912,New Zealand,New Zealand,Left-hand bat,Left-arm medium
Don Pringle,01-05-1932,England,,,
Don Tallon,17-02-1916,Australia,Australia,Right-hand bat,Leg-break
Don Taylor,02-03-1923,New Zealand,New Zealand,Right-hand bat,Off-break
Don Wilson,07-08-1937,England,England,Left-hand bat,Slow left-arm
Donald Carr,28-12-1926,Germany,England,Right-hand bat,Slow left-arm
Donald Knight,12-05-1894,England,England,Right-hand bat,
Donald Smith,14-06-1923,England,England,Left-hand bat,Left-arm medium
Donald Tiripano,17-03-1988,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Donovan Blake,04-12-1961,Jamaica,United States of America,Right-hand bat,Right-arm medium-fast
Donovan Pagon,13-09-1982,Jamaica,West Indies,Right-hand bat,Off-break
Dooley Briscoe,06-02-1911,South Africa,South Africa,Right-hand bat,
Doug Bollinger,24-07-1981,Australia,Australia,Left-hand bat,Left-arm fast-medium
Doug Bracewell,28-09-1990,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Doug Freeman,08-09-1914,Australia,New Zealand,Right-hand bat,Leg-break googly
Doug Insole,18-04-1926,England,England,Right-hand bat,Right-arm medium
Doug Marillier,24-04-1978,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Doug Meintjes,09-06-1890,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Doug Padgett,20-07-1934,England,England,Right-hand bat,Right-arm medium
Doug Ring,14-10-1918,Australia,Australia,Right-hand bat,Leg-break googly
Doug Walters,21-12-1945,Australia,Australia,Right-hand bat,Right-arm medium
Doug Wright,21-08-1914,England,England,Right-hand bat,"Right-arm medium, Leg-break googly"
Dougie Brown,29-10-1969,Scotland,Scotland,Right-hand bat,Right-arm fast-medium
Dougie Lockhart,19-01-1976,Scotland,Scotland,Right-hand bat,Right-arm medium
Douglas Carr,17-03-1872,England,England,Right-hand bat,"Right-arm medium, G"
Douglas Hondo,07-07-1979,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Douglas Jardine,23-10-1900,India,England,Right-hand bat,Leg-break
Dudley Nourse,12-11-1910,South Africa,South Africa,Right-hand bat,Right-arm
Duleep Mendis,25-08-1952,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Dulip Liyanage,06-06-1972,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm fast-medium
Dulip Samaraweera,12-02-1972,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Duncan Allan,14-10-1991,Australia,Kenya,Right-hand bat,Right-arm medium-fast
Duncan Fletcher,27-09-1948,Zimbabwe,Zimbabwe,Left-hand bat,Right-arm fast-medium
Duncan Sharpe,03-08-1937,India,Pakistan,Right-hand bat,Off-break
Durand Soraine,11-09-1983,India,Canada,Right-hand bat,Right-arm medium
Dwayne Bravo,07-10-1983,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast-medium
Dwayne Leverock,14-07-1971,Bermuda,Bermuda,Right-hand bat,Slow left-arm
Dwayne Smith,12-04-1983,Barbados,West Indies,Right-hand bat,Right-arm medium
Dwight Basden,28-10-1972,Bermuda,Bermuda,Right-hand bat,
Dwight Washington,05-03-1983,Jamaica,West Indies,Right-hand bat,Right-arm fast
EAS Prasanna,22-05-1940,India,India,Right-hand bat,Off-break
Easton McMorris,04-04-1935,Jamaica,West Indies,Right-hand bat,Off-break
Eboo Essop-Adam,16-11-1968,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Ebrahim Ghazali,15-06-1924,India,Pakistan,Right-hand bat,Off-break
Ebrahim Maka,05-03-1922,India,India,Right-hand bat,
Ed Cowan,16-06-1982,Australia,Australia,Left-hand bat,Off-break
Ed Giddins,20-07-1971,England,England,Right-hand bat,Right-arm fast-medium
Ed Joyce,22-09-1978,Ireland,Ireland,Left-hand bat,Right-arm medium
Ed Smith,19-07-1977,England,England,Right-hand bat,Right-arm medium-fast
Eddie Barlow,12-08-1940,South Africa,South Africa,Right-hand bat,Right-arm medium
Eddie Dawson,13-02-1904,England,England,Right-hand bat,
Eddie Fuller,02-08-1931,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Eddie Hemmings,20-02-1949,England,England,Right-hand bat,"Right-arm medium, Off-break"
Eddie Leadbeater,15-08-1927,England,England,Right-hand bat,Leg-break googly
Eddie McLeod,14-10-1900,New Zealand,New Zealand,Left-hand bat,Leg-break
Eddie Paynter,05-11-1901,England,England,Left-hand bat,Right-arm medium
Eddie Richardson,22-07-1990,Ireland,Ireland,Right-hand bat,Right-arm medium
Eddo Brandes,05-03-1963,South Africa,Zimbabwe,Right-hand bat,Right-arm fast-medium
Edgar Mayne,02-07-1882,Australia,Australia,Right-hand bat,Right-arm
Edgar Schiferli,17-05-1976,Netherlands,Netherlands,Right-hand bat,Right-arm medium-fast
Edmund Peate,02-03-1855,England,England,Left-hand bat,Slow left-arm
Edward Rainsford,14-12-1984,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Edward Tylecote,23-06-1849,England,England,Right-hand bat,
Edward van der Merwe,09-11-1903,South Africa,South Africa,Right-hand bat,
Edwin Evans,26-03-1849,Australia,Australia,Right-hand bat,Right-arm fast-medium
Edwin St Hill,09-03-1904,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
Ehsan Adil,15-03-1993,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Ehsan Nawaz,21-03-1995,Pakistan,Hong Kong,Right-hand bat,Right-arm fast-medium
Ehsanul Haque,01-12-1979,Bangladesh,Bangladesh,Right-hand bat,Off-break
Ehteshamuddin,04-09-1950,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Eion Katchay,08-12-1977,Guyana,Canada,Right-hand bat,Right-arm fast-medium
Eknath Solkar,18-03-1948,India,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Eldine Baptiste,12-03-1960,Antigua and barbuda,West Indies,Right-hand bat,Right-arm fast-medium
Elias Sunny,02-08-1986,Bangladesh,Bangladesh,Left-hand bat,Slow left-arm
Elijah Otieno,03-01-1988,Kenya,Kenya,Right-hand bat,Right-arm medium
Elquemedo Willett,01-05-1953,St Kitts and Nevis,West Indies,Left-hand bat,Slow left-arm
Elton Chigumbura,14-03-1986,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
EM Grace,28-11-1841,England,England,Right-hand bat,"Right-arm fast roundarm, Right-arm slow underarm"
Emile McMaster,16-03-1861,Ireland,England,Right-hand bat,
Emmanuel Bundi,08-09-1993,Kenya,Kenya,Right-hand bat,Right-arm medium-fast
Enamul Haque,27-02-1966,Pakistan,Bangladesh,Left-hand bat,Slow left-arm
Eoin Morgan,10-09-1986,Ireland,Ireland,Left-hand bat,Right-arm medium
Eric Atkinson,06-11-1927,Barbados,West Indies,Right-hand bat,Right-arm medium-fast
Eric Dalton,02-12-1906,South Africa,South Africa,Right-hand bat,"Leg-break, Right-arm medium"
Eric Davies,26-08-1909,South Africa,South Africa,Left-hand bat,Right-arm fast
Eric Dempster,25-01-1925,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Eric Fisher,28-07-1924,New Zealand,New Zealand,Right-hand bat,Left-arm medium
Eric Freeman,13-07-1944,Australia,Australia,Right-hand bat,Right-arm fast-medium
Eric Gouka,29-01-1970,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Eric Hollies,05-06-1912,England,England,Right-hand bat,Leg-break googly
Eric Marx,04-07-1895,South Africa,South Africa,Left-hand bat,Right-arm medium
Eric Petrie,22-05-1927,New Zealand,New Zealand,Right-hand bat,Leg-break
Eric Rowan,20-07-1909,South Africa,South Africa,Right-hand bat,Leg-break
Eric Russell,03-07-1936,Scotland,England,Right-hand bat,Right-arm medium
Eric Simons,09-03-1962,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Eric Szwarczynski,13-02-1983,South Africa,Netherlands,Right-hand bat,Right-arm medium
Eric Tindill,18-12-1910,New Zealand,New Zealand,Left-hand bat,
Eric Upashantha,10-06-1972,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ernest Bock,17-09-1908,South Africa,South Africa,Right-hand bat,Right-arm medium
Ernest Bromley,02-09-1912,Australia,Australia,Left-hand bat,Slow left-arm
Ernest Halliwell,07-09-1864,England,South Africa,Right-hand bat,
Ernest Tyldesley,05-02-1889,England,England,Right-hand bat,Right-arm slow-medium
Ernie Hayes,06-11-1876,England,England,Right-hand bat,Leg-break
Ernie Jones,30-09-1869,Australia,Australia,Right-hand bat,Right-arm fast
Ernie McCormick,16-05-1906,Australia,Australia,Left-hand bat,Right-arm fast
Ernie Toshack,08-12-1914,Australia,Australia,Right-hand bat,Left-arm medium
Ernie Vogler,28-11-1876,South Africa,South Africa,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Leg-break googly"
Errol Holmes,21-08-1905,India,England,Right-hand bat,"Right-arm fast, Right-arm medium"
Errol Hunte,03-10-1905,Trinidad and Tobago,West Indies,Right-hand bat,
Errol Stewart,30-07-1969,South Africa,South Africa,Right-hand bat,Right-arm medium
Erv McSweeney,08-03-1957,New Zealand,New Zealand,Right-hand bat,
Esmond Kentish,21-11-1916,Jamaica,West Indies,Right-hand bat,Right-arm fast-medium
Esuan Crandon,17-12-1981,Guyana,Guyana,Left-hand bat,Right-arm fast
Eugene Palmer,22-02-1859,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Evan Gray,18-11-1954,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Everton Matambanadzo,13-04-1976,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium-fast
Everton Mattis,11-04-1957,Jamaica,West Indies,Right-hand bat,Off-break
Everton Weekes,26-02-1925,Barbados,West Indies,Right-hand bat,Leg-break
Evin Lewis,27-12-1991,Trinidad and Tobago,West Indies,Left-hand bat,Right-arm medium
Ewart Astill,01-03-1888,England,England,Right-hand bat,Right-arm slow-medium
Ewen Chatfield,03-07-1950,New Zealand,New Zealand,Right-hand bat,Right-arm medium-fast
Ewen Thompson,17-12-1979,New Zealand,New Zealand,Left-hand bat,Left-arm fast-medium
Ezra Moseley,05-01-1958,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Faf du Plessis,13-07-1984,South Africa,South Africa,Right-hand bat,Leg-break
Fahad Alhashmi,31-07-1982,United Arab Emirates,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Fahad Usman,02-10-1976,Pakistan,United Arab Emirates,Left-hand bat,Leg-break
Fahim Muntasir,01-11-1980,Bangladesh,Bangladesh,Right-hand bat,Off-break
Faisal Athar,15-10-1975,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Faisal Hossain,26-10-1978,Bangladesh,Bangladesh,Left-hand bat,Slow left-arm
Faisal Iqbal,30-12-1981,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Faizan Asif,26-12-1982,Pakistan,United Arab Emirates,Left-hand bat,
Fanie de Villiers,13-10-1964,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Faoud Bacchus,31-01-1954,Guyana,West Indies,Right-hand bat,Right-arm medium
Farhaan Behardien,09-10-1983,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Farhad Reza,16-06-1986,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Farhan Adil,25-09-1977,Pakistan,Pakistan,Right-hand bat,Off-break
Farokh Engineer,25-02-1938,India,India,Right-hand bat,Leg-break
Farooq Hameed,03-03-1945,India,Pakistan,Right-hand bat,Right-arm fast-medium
Farrukh Zaman,02-04-1956,Pakistan,Pakistan,Right-hand bat,Slow left-arm
Faruk Ahmed,24-07-1966,Pakistan,Bangladesh,Right-hand bat,Off-break
Farveez Maharoof,07-09-1984,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Father Marriott,14-09-1895,England,England,Right-hand bat,Leg-break googly
Fawad Ahmed,10-03-1979,Pakistan,Australia,Right-hand bat,Leg-break
Fawad Alam,08-10-1985,Pakistan,Pakistan,Left-hand bat,Slow left-arm
Fayyaz Ahmed,12-05-1983,Pakistan,United Arab Emirates,Left-hand bat,Slow left-arm
Fazal Mahmood,18-02-1927,India,Pakistan,Right-hand bat,Right-arm fast-medium
Fazal-ur-Rehman,11-06-1935,India,Pakistan,Right-hand bat,Leg-break
Fazil Sattaur,06-04-1965,Guyana,Canada,Right-hand bat,
Fazl-e-Akbar,20-10-1980,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Feiko Kloppenburg,19-06-1974,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Fen Cresswell,22-03-1915,New Zealand,New Zealand,Left-hand bat,Right-arm slow-medium
Fidel Edwards,06-02-1982,Barbados,West Indies,Right-hand bat,Right-arm fast
Fiqre Crockwell,08-07-1985,Bermuda,Bermuda,Right-hand bat,
Fish Markham,12-09-1924,Swaziland,South Africa,Right-hand bat,Leg-break
Flavian Aponso,28-10-1952,Sri Lanka,Netherlands,Left-hand bat,Leg-break
Flooi du Toit,02-04-1869,South Africa,South Africa,Right-hand bat,Left-arm medium
Floris Jansen,10-06-1962,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Floyd Reifer,23-07-1972,Barbados,West Indies,Left-hand bat,Right-arm medium
Foffie Williams,10-04-1914,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Forster Mutizwa,24-08-1985,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Francis Ford,14-12-1866,England,England,Left-hand bat,Slow left-arm
Francis MacKinnon,09-04-1848,England,England,Right-hand bat,
Francis Otieno,25-08-1979,Kenya,Kenya,Right-hand bat,Right-arm medium
Frank Allan,02-12-1849,Australia,Australia,Right-hand bat,Left-arm fast-medium roundarm
Frank Cameron,01-06-1932,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Frank de Caires,12-05-1909,Guyana,West Indies,Right-hand bat,Right-arm
Frank Druce,01-01-1875,England,England,Right-hand bat,
Frank Foster,31-01-1889,England,England,Right-hand bat,Left-arm fast-medium
Frank Hayes,06-12-1946,England,England,Right-hand bat,Right-arm medium
Frank Hearne,23-11-1858,England,England,Right-hand bat,Right-arm fast roundarm
Frank Iredale,19-06-1867,Australia,Australia,Right-hand bat,
Frank King,14-12-1926,Barbados,West Indies,Right-hand bat,Right-arm fast
Frank Laver,07-12-1869,Australia,Australia,Right-hand bat,Right-arm medium
Frank Lowson,01-07-1925,England,England,Right-hand bat,Off-break
Frank Mann,03-03-1888,England,England,Right-hand bat,Right-arm slow
Frank Martin,12-10-1893,Jamaica,West Indies,Left-hand bat,Slow left-arm
Frank Milligan,19-03-1870,England,England,Right-hand bat,Right-arm fast
Frank Misson,19-11-1938,Australia,Australia,Right-hand bat,Right-arm fast-medium
Frank Mitchell,13-08-1872,England,England,Right-hand bat,Right-arm medium
Frank Mooney,26-05-1921,New Zealand,New Zealand,Right-hand bat,Right-arm
Frank Nicholson,17-09-1909,England,South Africa,Right-hand bat,
Frank Penn,07-03-1851,England,England,Right-hand bat,Right-arm slow roundarm
Frank Smailes,27-03-1910,England,England,Left-hand bat,Right-arm medium
Frank Sugg,11-01-1862,England,England,Right-hand bat,Right arm underarm
Frank Tyson,06-06-1930,England,England,Right-hand bat,Right-arm fast
Frank Walters,09-02-1860,Australia,Australia,Right-hand bat,Right-arm medium
Frank Ward,23-02-1906,Australia,Australia,Right-hand bat,Leg-break googly
Frank Woolley,27-05-1887,England,England,Left-hand bat,"Left-arm medium, Slow left-arm"
Frank Worrell,01-08-1924,Barbados,West Indies,Right-hand bat,"Left-arm medium, Slow left-arm"
Franklyn Dennis,26-09-1947,Jamaica,Canada,Right-hand bat,
Franklyn Rose,01-02-1972,Jamaica,West Indies,Right-hand bat,Right-arm fast
Frasat Ali,31-07-1949,Pakistan,,Right-hand bat,Right-arm medium
Fraser Watts,05-06-1979,England,Scotland,Right-hand bat,Right-arm medium
Fred Bakewell,02-11-1908,England,England,Right-hand bat,Right-arm medium
Fred Barratt,12-04-1894,England,England,Right-hand bat,Right-arm fast
Fred Freer,04-12-1915,Australia,Australia,Right-hand bat,Right-arm fast-medium
Fred Grace,13-12-1850,England,England,Right-hand bat,Right-arm fast roundarm
Fred le Roux,05-02-1882,South Africa,South Africa,Right-hand bat,Right-arm medium
Fred Morley,16-12-1850,England,England,Left-hand bat,Left-arm fast
Fred Price,25-04-1902,England,England,Right-hand bat,
Fred Ridgway,10-08-1923,England,England,Right-hand bat,Right-arm fast-medium
Fred Root,16-04-1890,England,England,Right-hand bat,Right-arm fast-medium
Fred Rumsey,04-12-1935,England,England,Right-hand bat,Left-arm fast-medium
Fred Smith,31-03-1861,South Africa,South Africa,Right-hand bat,
Fred Spofforth,09-09-1853,Australia,Australia,Right-hand bat,Right-arm fast-medium
Fred Susskind,08-06-1891,South Africa,South Africa,Right-hand bat,
Fred Tate,24-07-1867,England,England,Right-hand bat,Right-arm medium
Fred Titmus,24-11-1932,England,England,Right-hand bat,Off-break
Fred Trueman,06-02-1931,England,England,Right-hand bat,Right-arm fast
Freddie Brown,16-12-1910,Peru,England,Right-hand bat,"Right-arm medium, Leg-break googly"
Freddie Calthorpe,27-05-1892,England,England,Right-hand bat,Right-arm medium
Freddie Coleman,15-12-1991,Scotland,Scotland,Right-hand bat,Off-break
Frederick Burton,02-11-1865,Australia,Australia,Right-hand bat,
Frederick Cook,30-11-1869,Indonesia,South Africa,Right-hand bat,
Frederick Fane,27-04-1875,Ireland,England,Right-hand bat,
Frederick Kuys,21-03-1870,South Africa,South Africa,Right-hand bat,Right-arm
Frederick Martin,12-10-1861,England,England,Left-hand bat,Left-arm medium
Friday Kasteni,25-03-1988,Zimbabwe,Zimbabwe,Left-hand bat,Slow left-arm
Friedel de Wet,26-06-1980,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Gagan Khoda,24-10-1974,India,India,Right-hand bat,Off-break
Gamini Perera,22-05-1964,Sri Lanka,Sri Lanka,Right-hand bat,Slow left-arm
Gamini Wickremasinghe,27-12-1965,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Ganesh Mylvaganam,01-08-1966,Sri Lanka,United Arab Emirates,Right-hand bat,
Gareth Batty,13-10-1977,England,England,Right-hand bat,Off-break
Gareth Breese,09-01-1976,Jamaica,West Indies,Right-hand bat,Off-break
Gareth Hopkins,24-11-1976,New Zealand,New Zealand,Right-hand bat,
Garey Mathurin,23-09-1983,St Lucia,West Indies,Left-hand bat,Slow left-arm
Garnett Kruger,05-01-1977,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Garry Sobers,28-07-1936,Barbados,West Indies,Left-hand bat,"Left-arm fast-medium, Slow left-arm, Chinaman"
Garth McKenzie,24-06-1941,Australia,Australia,Right-hand bat,Right-arm fast
Gary Ballance,22-11-1989,Zimbabwe,England,Left-hand bat,Leg-break
Gary Bartlett,03-02-1941,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Gary Brent,13-01-1976,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Gary Cosier,25-04-1953,Australia,Australia,Right-hand bat,Right-arm medium
Gary Crocker,16-05-1962,Zimbabwe,Zimbabwe,Left-hand bat,Left-arm medium-fast
Gary Gilmour,26-06-1951,Australia,Australia,Left-hand bat,Left-arm fast-medium
Gary Kidd,18-09-1985,Ireland,Ireland,Left-hand bat,Slow left-arm
Gary Kirsten,23-11-1967,South Africa,South Africa,Left-hand bat,Off-break
Gary Martin,30-05-1966,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Gary Putland,10-02-1986,Australia,Australia,Right-hand bat,Left-arm fast-medium
Gary Robertson,15-07-1960,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Gary Stead,09-01-1972,New Zealand,New Zealand,Right-hand bat,Leg-break
Gary Troup,03-10-1952,New Zealand,New Zealand,Right-hand bat,Left-arm fast-medium
Gary Wilson,05-02-1986,Ireland,Ireland,Right-hand bat,
Gautam Gambhir,14-10-1981,India,India,Left-hand bat,Leg-break
Gavin Briant,11-04-1969,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Gavin Ewing,21-01-1981,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Gavin Hamilton,16-09-1974,Scotland,Scotland,Left-hand bat,Right-arm medium-fast
Gavin Larsen,27-09-1962,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Gavin Murgatroyd,19-10-1969,Namibia,Namibia,Right-hand bat,Right-arm medium
Gavin Rennie,12-01-1976,Zimbabwe,Zimbabwe,Left-hand bat,Slow left-arm
Gavin Robertson,28-05-1966,Australia,Australia,Right-hand bat,Off-break
Gavin Stevens,29-02-1932,Australia,Australia,Right-hand bat,
Gavin Tonge,13-02-1983,Antigua and barbuda,West Indies,Right-hand bat,Right-arm fast-medium
Gayan Wijekoon,21-12-1976,Sri Lanka,Sri Lanka,Left-hand bat,Left-arm medium
Gazi Ashraf,29-12-1960,Pakistan,Bangladesh,Right-hand bat,Off-break
Geert-Maarten Mol,12-10-1983,Netherlands,Netherlands,Left-hand bat,Leg-break
Geff Noblet,14-09-1916,Australia,Australia,Right-hand bat,Right-arm fast-medium
Geoff Allott,24-12-1971,New Zealand,New Zealand,Right-hand bat,Left-arm fast-medium
Geoff Arnold,03-09-1944,England,England,Right-hand bat,Right-arm fast-medium
Geoff Barnett,03-02-1984,New Zealand,Canada,Left-hand bat,Right-arm medium
Geoff Chubb,12-04-1911,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Geoff Cook,09-10-1951,England,England,Right-hand bat,Slow left-arm
Geoff Cope,23-02-1947,England,England,Right-hand bat,Off-break
Geoff Dymock,21-07-1945,Australia,Australia,Left-hand bat,Left-arm fast-medium
Geoff Greenidge,26-05-1948,Barbados,West Indies,Right-hand bat,Leg-break googly
Geoff Griffin,12-06-1939,South Africa,South Africa,Right-hand bat,Right-arm fast
Geoff Howarth,29-03-1951,New Zealand,New Zealand,Right-hand bat,Off-break
Geoff Humpage,24-04-1954,England,England,Right-hand bat,Right-arm medium
Geoff Lawson,07-12-1957,Australia,Australia,Right-hand bat,Right-arm fast
Geoff Marsh,31-12-1958,Australia,Australia,Right-hand bat,
Geoff Miller,08-09-1952,England,England,Right-hand bat,Off-break
Geoff Millman,02-10-1934,England,England,Right-hand bat,Off-break
Geoff Pullar,01-08-1935,England,England,Left-hand bat,Leg-break
Geoff Rabone,06-11-1921,New Zealand,New Zealand,Right-hand bat,"Off-break, Leg-break"
Geoffrey Boycott,21-10-1940,England,England,Right-hand bat,Right-arm medium
Geoffrey Legge,26-01-1903,England,England,Right-hand bat,Leg-break
George Alexander,22-04-1851,England,Australia,Right-hand bat,Right-arm fast roundarm
George Bailey,07-09-1982,Australia,Australia,Right-hand bat,Right-arm medium
George Bean,07-03-1864,England,England,Right-hand bat,Right-arm medium
George Bissett,05-11-1905,South Africa,South Africa,Right-hand bat,Right-arm fast
George Bonnor,25-02-1855,Australia,Australia,Right-hand bat,Right-arm medium
George Brown,06-10-1887,England,England,Left-hand bat,Right-arm medium
George Carew,04-06-1910,Barbados,West Indies,Right-hand bat,Slow left-arm
George Challenor,28-06-1888,Barbados,West Indies,Right-hand bat,Right-arm medium
George Codrington,26-11-1966,Barbados,Canada,Right-hand bat,Right-arm medium
George Coulthard,01-08-1856,Australia,Australia,Right-hand bat,Right-arm medium
George Dickinson,11-03-1903,New Zealand,New Zealand,Right-hand bat,Right-arm fast
George Dockrell,22-07-1992,Ireland,Ireland,Right-hand bat,Slow left-arm
George Duckworth,09-05-1901,England,England,Right-hand bat,Right-arm medium
George Emmett,02-12-1912,India,England,Right-hand bat,Slow left-arm
George Francis,11-12-1897,Barbados,West Indies,Right-hand bat,Right-arm fast
George Fullerton,08-12-1922,South Africa,South Africa,Right-hand bat,Right-arm medium
George Geary,09-07-1893,England,England,Right-hand bat,Right-arm fast-medium
George Giffen,27-03-1859,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
George Gladstone,14-01-1901,Jamaica,West Indies,Left-hand bat,Slow left-arm
George Glover,13-05-1870,England,South Africa,Right-hand bat,Off-break
George Gunn,13-06-1879,England,England,Right-hand bat,Right-arm
George Headley,30-05-1909,Panama,West Indies,Right-hand bat,Leg-break
George Hearne,07-07-1856,England,England,Left-hand bat,Left-arm medium roundarm
George Hirst,07-09-1871,England,England,Right-hand bat,Left-arm medium-fast
George Lohmann,02-06-1865,England,England,Right-hand bat,Right-arm medium-fast
George Macaulay,07-12-1897,England,England,Right-hand bat,"Right-arm fast, Right-arm medium"
George Mann,06-09-1917,England,England,Right-hand bat,
George McShane,18-04-1858,Australia,Australia,Left-hand bat,Left-arm medium
George Mudie,26-11-1915,Jamaica,West Indies,Right-hand bat,Slow left-arm
George O'Brien,16-09-1984,Bermuda,Bermuda,Right-hand bat,Right-arm fast-medium
George Paine,11-06-1908,England,England,Right-hand bat,Slow left-arm
George Parker,27-05-1899,South Africa,South Africa,Right-hand bat,Right-arm fast
George Pope,27-01-1911,England,England,Right-hand bat,Right-arm fast-medium
George Rowe,15-06-1874,South Africa,South Africa,Right-hand bat,Slow left-arm
George Salmond,01-12-1969,Scotland,Scotland,Right-hand bat,Right-arm medium
George Shepstone,09-04-1876,South Africa,South Africa,Right-hand bat,Right-arm fast
George Simpson-Hayward,07-06-1875,England,England,Right-hand bat,Right-arm slow underarm
George Street,06-12-1889,England,England,Right-hand bat,
George Studd,20-10-1859,England,England,Right-hand bat,
George Tapscott,07-11-1889,South Africa,South Africa,Right-hand bat,Right-arm medium
George Thompson,27-10-1877,England,England,Right-hand bat,Right-arm fast-medium
George Thoms,22-03-1927,Australia,Australia,Right-hand bat,
George Thornton,24-12-1867,England,South Africa,Left-hand bat,Slow left-arm
George Tribe,04-10-1920,Australia,Australia,Left-hand bat,Chinaman
George Ulyett,21-10-1851,England,England,Right-hand bat,Right-arm fast roundarm
George Vernon,20-06-1856,England,England,Right-hand bat,Unknown arm slow underarm
George Wood,22-08-1893,England,England,Right-hand bat,Right-arm medium
George Worker,23-08-1989,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Geraint Jones,14-07-1976,Papua New Guinea,England,Right-hand bat,Right-arm medium
Gerald Bond,05-04-1909,South Africa,South Africa,Right-hand bat,Right-arm medium
Gerald Hartigan,30-12-1884,South Africa,South Africa,Right-hand bat,"Right-arm fast-medium, Leg-break"
Gerald Peckover,02-06-1955,Zimbabwe,Zimbabwe,Right-hand bat,
Gerald Smithson,01-11-1926,England,England,Left-hand bat,Right-arm medium
Gerhardus Liebenberg,07-04-1972,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Gerrie Snyman,30-04-1981,Namibia,Namibia,Right-hand bat,Right-arm fast-medium
Gerry Alexander,02-11-1928,Jamaica,West Indies,Right-hand bat,
Gerry Gomez,10-10-1919,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
